"Subscriber_ID","recency","frequency","monetary","r_score","f_score","m_score","total_score","segment"
SUB3919,851,1,409.87,1,1,1,3,Lost
SUB3541,851,1,245.52,1,1,1,3,Lost
SUB4984,851,1,556.98,1,1,1,3,Lost
SUB3829,850,1,8718.84,1,1,3,5,Hibernation
SUB2960,849,1,189.61,1,1,1,3,Lost
SUB3751,849,1,12189.91,1,1,3,5,Hibernation
SUB2940,848,1,6585.2,1,1,2,4,Hibernation
SUB1998,845,1,212.81,1,1,1,3,Lost
SUB3108,843,1,15891.12,1,1,3,5,Hibernation
SUB4421,841,1,6213.12,1,1,2,4,Hibernation
SUB3929,841,1,13302.25,1,1,3,5,Hibernation
SUB3518,839,1,584.42,1,1,1,3,Lost
SUB2674,839,1,2796.05,1,1,1,3,Lost
SUB4136,838,1,173.9,1,1,1,3,Lost
SUB3936,838,1,15768.34,1,1,3,5,Hibernation
SUB3911,837,1,4360.77,1,1,2,4,Hibernation
SUB4825,836,1,14505.84,1,1,3,5,Hibernation
SUB2240,835,1,201.8,1,1,1,3,Lost
SUB3508,835,1,1320.75,1,1,1,3,Lost
SUB3471,834,1,1302.24,1,1,1,3,Lost
SUB1572,834,1,2202.94,1,1,1,3,Lost
SUB2469,834,1,536.47,1,1,1,3,Lost
SUB3190,834,1,120.21,1,1,1,3,Lost
SUB2592,833,1,413.61,1,1,1,3,Lost
SUB3794,832,2,2751468.04,1,3,4,8,At risk
SUB1732,831,1,1729.29,1,1,1,3,Lost
SUB1720,830,1,1619183.27,1,1,4,6,At risk
SUB2551,830,1,2536.72,1,1,1,3,Lost
SUB3286,830,3,10218.81,1,3,3,7,At risk
SUB1010,830,1,4713.7,1,1,2,4,Hibernation
SUB1234,829,1,2062.98,1,1,1,3,Lost
SUB4724,827,1,15438.4,1,1,3,5,Hibernation
SUB1621,825,1,5546.58,1,1,2,4,Hibernation
SUB1925,825,1,373.56,1,1,1,3,Lost
SUB3494,825,1,3010.66,1,1,1,3,Lost
SUB4886,824,1,1447.42,1,1,1,3,Lost
SUB3627,823,1,3492.72,1,1,2,4,Hibernation
SUB2137,822,1,756.43,1,1,1,3,Lost
SUB3356,821,1,817.79,1,1,1,3,Lost
SUB3871,820,1,1809.4,1,1,1,3,Lost
SUB4333,819,1,48.89,1,1,1,3,Lost
SUB4906,817,1,8478.51,1,1,3,5,Hibernation
SUB3334,814,1,1201.25,1,1,1,3,Lost
SUB4181,813,1,11153.61,1,1,3,5,Hibernation
SUB2989,812,1,1220.18,1,1,1,3,Lost
SUB2934,811,2,6381.05,1,2,2,5,Hibernation
SUB1198,810,1,5070.93,1,1,2,4,Hibernation
SUB1283,805,1,6032.58,1,1,2,4,Hibernation
SUB2149,805,1,2426.17,1,1,1,3,Lost
SUB3272,805,1,1070.91,1,1,1,3,Lost
SUB4645,803,1,3196.3,1,1,1,3,Lost
SUB4287,803,1,271.78,1,1,1,3,Lost
SUB3864,802,1,3734.73,1,1,2,4,Hibernation
SUB2418,800,1,3618.56,1,1,2,4,Hibernation
SUB4448,800,1,660.43,1,1,1,3,Lost
SUB1180,798,2,371.1,1,2,1,4,Hibernation
SUB1965,797,1,16253.1,1,1,4,6,At risk
SUB2518,795,1,2293.38,1,1,1,3,Lost
SUB1050,795,1,11664.72,1,1,3,5,Hibernation
SUB3869,794,1,15025.18,1,1,3,5,Hibernation
SUB1651,793,2,2923.02,1,2,1,4,Hibernation
SUB4500,792,1,361.41,1,1,1,3,Lost
SUB2033,791,1,11633.44,1,1,3,5,Hibernation
SUB1835,789,1,19137.4,1,1,4,6,At risk
SUB2205,789,1,8909.86,1,1,3,5,Hibernation
SUB3619,789,1,125.82,1,1,1,3,Lost
SUB3790,786,1,436.15,1,1,1,3,Lost
SUB4101,784,1,396.22,1,1,1,3,Lost
SUB3641,784,1,3154.14,1,1,1,3,Lost
SUB1853,784,1,16088.95,1,1,3,5,Hibernation
SUB3631,784,1,146.43,1,1,1,3,Lost
SUB3048,781,1,918.09,1,1,1,3,Lost
SUB4281,781,1,7452.37,1,1,2,4,Hibernation
SUB4935,780,1,918.0,1,1,1,3,Lost
SUB3282,780,1,60.84,1,1,1,3,Lost
SUB4517,779,1,3652.3,1,1,2,4,Hibernation
SUB1319,778,1,4967.17,1,1,2,4,Hibernation
SUB1612,775,2,7189.51,1,2,2,5,Hibernation
SUB3740,775,1,4063.84,1,1,2,4,Hibernation
SUB2062,775,1,11916.66,1,1,3,5,Hibernation
SUB2096,775,1,251684.62,1,1,4,6,At risk
SUB1246,772,2,7565.6,1,2,2,5,Hibernation
SUB3646,772,1,7562.76,1,1,2,4,Hibernation
SUB2512,771,1,3778.43,1,1,2,4,Hibernation
SUB4865,771,1,1454.45,1,1,1,3,Lost
SUB1522,770,1,278.04,1,1,1,3,Lost
SUB4451,770,1,1539.71,1,1,1,3,Lost
SUB1002,769,1,25.8,1,1,1,3,Lost
SUB1982,769,1,561.69,1,1,1,3,Lost
SUB1297,767,1,451.73,1,1,1,3,Lost
SUB1121,766,1,208.17,1,1,1,3,Lost
SUB1731,766,1,1331.8,1,1,1,3,Lost
SUB4018,763,1,279.97,1,1,1,3,Lost
SUB4700,763,1,51.9,1,1,1,3,Lost
SUB1854,763,2,7166.81,1,2,2,5,Hibernation
SUB3192,761,1,864.36,1,1,1,3,Lost
SUB1151,761,1,255.12,1,1,1,3,Lost
SUB3010,758,1,242.28,1,1,1,3,Lost
SUB1438,755,1,53.0,1,1,1,3,Lost
SUB1931,754,1,921.42,1,1,1,3,Lost
SUB4164,753,1,4385.39,1,1,2,4,Hibernation
