"Txn_ID","Subscriber_ID","Activation_Date","City","Province","Package_Type","Package_Name","Usage_GB","Package_Price","Discount_Pct","Recharge_Amount","Network_Cost","Channel","Payment_Method","Tenure_Days","NPS_Score","Target_ARPU","Profit","Segmen_NPS","ARPU_Gap","ARPU_Category"
TEL-000001,SUB4640,2024-12-06 00:00:00.000,Yogyakarta,DIY,Data,Package_31,10,306.02,0.0,3060.2,2254.37,Retail,Cash,0,63,96010,805.8299999999999,Bagus,-92949.8,N
TEL-000002,SUB1687,2024-07-10 00:00:00.000,Surabaya,Jawa Timur,Data,Package_12,17,133.81,0.95,113.74,131.12,Dealer,Ewallet,57,86,76332,-17.38000000000001,Bagus Sekali,-76218.26,N
TEL-000003,SUB3131,2024-03-13 00:00:00.000,Yogyakarta,DIY,Data,Package_61,14,194.08,0.1,1976.69,2069.26,Dealer,Transfer,81,96,154577,-92.57000000000016,Bagus Sekali,-152600.31,N
TEL-000004,SUB4293,2025-02-11 00:00:00.000,Bandung,Jawa Barat,Voice,Package_94,7,794.58,0.15,4727.75,3574.89,Online,Ewallet,108,54,91707,1152.8600000000001,Bagus,-86979.25,N
TEL-000005,SUB4930,2025-01-16 00:00:00.000,Surabaya,Jawa Timur,Data,Package_34,13,81.33,0.05,1588.11,1021.87,Online,Transfer,19,27,182593,566.2399999999999,Buruk,-181004.89,N
TEL-000006,SUB3858,2023-10-01 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_11,7,390.66,0.05,2597.89,1649.7,Dealer,Cash,8,-20,31629,948.1899999999998,Buruk,-29031.11,N
TEL-000007,SUB4840,2024-05-26 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_61,5,306.59,0.95,76.65,66.78,Online,Transfer,81,-7,128927,9.870000000000005,Buruk,-128850.35,N
TEL-000008,SUB4072,2024-11-05 00:00:00.000,Surabaya,Jawa Timur,Data,Package_9,13,895.02,0.0,11635.26,9698.62,Dealer,Ewallet,47,118,139467,1936.6399999999994,Bagus Sekali,-127831.74,N
TEL-000009,SUB3302,2024-09-30 00:00:00.000,Surabaya,Jawa Timur,Data,Package_35,7,182.56,0.1,1150.13,888.19,Dealer,Ewallet,104,24,91184,261.94000000000005,Buruk,-90033.87,N
TEL-000010,SUB4242,2023-11-14 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_85,11,634.28,0.0,6977.08,3786.97,Retail,Ewallet,76,79,73358,3190.11,Bagus,-66380.92,N
TEL-000011,SUB2191,2024-09-15 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_4,2,60.02,0.75,30.01,32.08,Dealer,Transfer,104,-12,72844,-2.0699999999999967,Buruk,-72813.99,N
TEL-000012,SUB3404,2025-01-11 00:00:00.000,Bandung,Jawa Barat,Data,Package_68,2,301.77,0.1,543.19,392.07,Retail,Ewallet,86,15,44530,151.12000000000006,Buruk,-43986.81,N
TEL-000013,SUB4875,2025-05-04 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_77,5,145.1,0.5,362.75,432.91,Online,Ewallet,3,68,184259,-70.16000000000003,Bagus,-183896.25,N
TEL-000007,SUB4868,2024-12-01 00:00:00.000,Surabaya,Jawa Timur,Combo,Package_71,4,572.96,0.2,1833.47,1296.7,Dealer,Ewallet,105,57,103727,536.77,Bagus,-101893.53,N
TEL-000015,SUB1402,2024-07-12 00:00:00.000,Surabaya,Jawa Timur,Voice,Package_8,11,977.35,0.75,2687.71,1427.6,Retail,Cash,7,31,138269,1260.1100000000001,Buruk,-135581.29,N
TEL-000016,Anon,2024-04-22 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_76,7,301.46,0.75,527.55,460.23,Dealer,Cash,61,107,153859,67.31999999999994,Bagus Sekali,-153331.45,N
TEL-000017,SUB4983,2023-11-01 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_50,8,190.04,0.2,1216.26,713.55,Dealer,Ewallet,16,105,199222,502.71000000000004,Bagus Sekali,-198005.74,N
TEL-000018,SUB3201,2024-01-29 00:00:00.000,Yogyakarta,DIY,Data,Package_100,11,567.42,0.05,10760.18,7124.12,Dealer,Ewallet,41,94,145291,3636.0600000000004,Bagus Sekali,-134530.82,N
TEL-000019,Anon,2025-05-06 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_12,7,290.06,0.1,1827.38,1081.91,Online,Transfer,110,18,97367,745.47,Buruk,-95539.62,N
TEL-000005,SUB3743,2024-12-09 00:00:00.000,Yogyakarta,DIY,Combo,Package_22,19,578.72,0.0,10995.68,11777.21,Dealer,Ewallet,0,85,158618,-781.5299999999988,Bagus Sekali,-147622.32,N
TEL-000021,SUB2781,2023-09-28 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_54,9,199.61,0.2,2634.86,2931.25,Dealer,Ewallet,3,99,40546,-296.3899999999999,Bagus Sekali,-37911.14,N
TEL-000022,SUB4638,2024-08-14 00:00:00.000,Surabaya,Jawa Timur,Data,Package_16,16,124.67,0.2,1595.78,1151.88,Online,Ewallet,49,112,32560,443.89999999999986,Bagus Sekali,-30964.22,N
TEL-000023,SUB4654,2024-10-25 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_77,4,30.95,0.05,117.61,112.62,Online,Ewallet,38,32,121067,4.989999999999995,Buruk,-120949.39,N
TEL-000022,SUB4776,2024-05-26 00:00:00.000,Yogyakarta,DIY,Data,Package_17,13,734.65,0.5,4775.22,4588.13,Online,Cash,1,9,143237,187.09000000000015,Buruk,-138461.78,N
TEL-000025,SUB4707,2024-11-07 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_28,1,700.92,0.05,665.87,816.21,Online,Ewallet,17,58,179261,-150.34000000000003,Bagus,-178595.13,N
TEL-000026,SUB3857,2023-11-30 00:00:00.000,Surabaya,Jawa Timur,Data,Package_42,17,493.25,0.1,7546.73,9653.68,Dealer,Cash,7,8,146951,-2106.9500000000007,Buruk,-139404.27,N
TEL-000027,SUB3835,2025-03-06 00:00:00.000,Surabaya,Jawa Timur,Data,Package_91,1,604.94,0.05,574.69,681.34,Online,Ewallet,118,3,149533,-106.64999999999998,Buruk,-148958.31,N
TEL-000028,SUB2567,2025-11-26 00:00:00.000,Yogyakarta,DIY,Data,Package_34,13,210.22,0.5,1366.43,776.35,Dealer,Ewallet,92,59,38562,590.08,Bagus,-37195.57,N
TEL-000029,SUB1168,2023-10-03 00:00:00.000,Jakarta,DKI Jakarta,Data,Package_36,8,224.47,0.05,1705.97,1190.06,Retail,Ewallet,10,114,94878,515.9100000000001,Bagus Sekali,-93172.03,N
TEL-000030,SUB1382,2025-09-17 00:00:00.000,Bandung,Jawa Barat,Combo,Package_18,19,829.35,0.15,11709.2,11292.38,Dealer,Transfer,32,75,122736,416.8200000000015,Bagus,-111026.8,N
TEL-000031,SUB2968,2024-07-06 00:00:00.000,Yogyakarta,DIY,Voice,Package_19,4,234.5,0.75,234.5,276.69,Online,Ewallet,92,53,182206,-42.19,Bagus,-181971.5,N
TEL-000032,SUB4992,2025-12-23 00:00:00.000,Bandung,Jawa Barat,Voice,Package_76,4,178.21,0.0,712.84,590.53,Retail,Transfer,48,117,49638,122.31000000000006,Bagus Sekali,-48925.16,N
TEL-000033,SUB3458,2025-10-24 00:00:00.000,Yogyakarta,DIY,Combo,Package_40,13,69.02,0.05,852.4,1013.11,Dealer,Cash,102,-12,60171,-160.71000000000004,Buruk,-59318.6,N
TEL-000034,SUB3764,2024-01-23 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_99,13,496.18,0.2,5160.27,3932.05,Retail,Ewallet,60,43,153473,1228.2200000000003,Bagus,-148312.73,N
TEL-000035,SUB2102,2025-06-23 00:00:00.000,Bandung,Jawa Barat,Voice,Package_16,8,848.63,0.05,10359.1,7871.07,Dealer,Cash,82,1,31480,2488.0300000000007,Buruk,-21120.9,N
TEL-000036,SUB2396,2024-02-23 00:00:00.000,Bandung,Jawa Barat,Combo,Package_46,2,132.97,0.5,132.97,74.26,Dealer,Transfer,118,-12,143396,58.709999999999994,Buruk,-143263.03,N
TEL-000019,SUB4382,2025-01-07 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_37,4,43.67,0.0,174.68,199.23,Retail,Transfer,62,13,96370,-24.549999999999983,Buruk,-96195.32,N
TEL-000038,Anon,2024-10-07 00:00:00.000,Bandung,Jawa Barat,Combo,Package_47,10,87.35,0.0,873.5,993.25,Online,Ewallet,8,12,86922,-119.75,Buruk,-86048.5,N
TEL-000039,SUB4400,2024-05-21 00:00:00.000,Bandung,Jawa Barat,Data,Package_11,5,555.45,0.2,2221.8,2566.43,Dealer,Cash,64,71,64750,-344.62999999999965,Bagus,-62528.2,N
TEL-000040,SUB3812,2024-04-23 00:00:00.000,Yogyakarta,DIY,Data,Package_6,16,375.18,0.95,300.14,183.92,Dealer,Transfer,50,62,55374,116.22,Bagus,-55073.86,N
TEL-000041,SUB1012,2024-06-07 00:00:00.000,Jakarta,DKI Jakarta,Combo,Package_75,5,230.19,0.95,57.55,59.23,Dealer,Cash,3,4,75742,-1.6799999999999997,Buruk,-75684.45,N
TEL-000042,SUB2493,2024-09-25 00:00:00.000,Jakarta,DKI Jakarta,Voice,Package_43,10,803.93,0.95,401.97,358.7,Retail,Ewallet,88,69,113641,43.27000000000004,Bagus,-113239.03,N
TEL-000043,SUB3065,2024-12-30 00:00:00.000,Bandung,Jawa Barat,Data,Package_81,6,940.25,0.15,4795.27,4477.22,Dealer,Cash,109,37,147021,318.0500000000002,Buruk,-142225.73,N
TEL-000001,SUB1535,2024-07-02 00:00:00.000,Yogyakarta,DIY,Data,Package_54,5,458.24,0.95,185.81,233.21,Online,Cash,107,59,83454,-47.400000000000006,Bagus,-83268.19,N
